id,lat,lng,label,population,risk
735,53.6303,9.9883,"Hamburg",3726203,0.00044342100488518486
742,52.5597,13.2878,"Berlin",5387837,0.00044261379535243486
748,48.3539,11.7861,"Munich",4802084,0.001279042014275166
749,49.4986,11.0669,"Nuremberg",4045774,0.00012657262042327467
750,51.2894,6.7667,"Duesseldorf",5382885,0.0005683982998839671
758,7.1803,79.8853,"Colombo",9032691,0.0008189083483316302
762,55.95,-3.3725,"Edinburgh",1697129,0.00013320846140950306
786,52.4536,-1.7478,"Birmingham (UK)",4036006,0.0001619833302026419
789,53.3536,-2.275,"Manchester",5485344,0.00046355028790800133
791,51.4775,-0.4614,"London (UK)",17233070,0.004004883759623963
814,33.3675,-7.59,"Casablanca",8180563,0.0003788364773636618
827,15.1189,145.7294,"Saipan",118045,0.000860407220901361
830,47.4369,19.2556,"Budapest",4865499,0.0003528712182137858
837,52.3081,4.7642,"Amsterdam",9166721,0.0010548918607278135
856,47.8431,106.7667,"Ulaanbaatar",1484007,0.00012827775480036673
875,16.9072,96.1333,"Yangon",11684460,0.0006737831004009789
884,21.7022,95.9781,"Mandalay",7168138,0.00032804721591767283
915,37.9364,23.9444,"Athens (GR)",4646597,0.00047311343129033336
1024,19.4364,-99.0722,"Mexico City",20670987,0.0004775305832048113
1053,12.9944,80.1806,"Chennai",10117338,0.00038779341822196074
1085,13.1989,77.7056,"Bengaluru",20037284,0.0003501880934780495
1090,19.0886,72.8681,"Mumbai",28236589,0.0009587005699674224
1094,17.2311,78.4314,"Hyderabad (IN)",31863233,0.0001716204886134341
1095,22.6547,88.4467,"Kolkata",72296808,0.0002201244945771649
1099,28.5664,77.1031,"Delhi",62390146,0.0016402460377580388
1101,23.0772,72.6347,"Ahmedabad",19456104,0.00010001830073997519
1124,10.2269,103.9672,"Phuquoc",87833,0.00015566533389536801
1125,21.2211,105.8072,"Hanoi",20834462,0.0021722915635604438
1129,10.8189,106.6519,"Ho Chi Minh City",16228217,0.0034935544168834534
1137,11.9981,109.2192,"Nha Trang",1733076,0.0011370047999222114
1139,16.0439,108.1994,"Da Nang",1821939,0.0006558715016639031
1173,60.1939,11.1003,"Oslo",1300337,0.0002033870582838286
1175,50.1008,14.26,"Prague",3395494,0.0005328641893008359
1196,-20.4303,57.6836,"Mauritius",1261130,0.0003879556584714766
1205,32.0072,34.8806,"Tel Aviv",4546752,0.000807225163347727
1216,-12.0219,-77.1144,"Lima",9291318,0.00025854943894304446
1238,-8.7481,115.1672,"Denpasar",5493498,0.00326208371743206
1254,-7.3797,112.7869,"Surabaya",14697428,0.00035156179538858287
1295,1.5492,124.9264,"Manado",1850873,0.00034392472495828834
1314,-6.1256,106.6558,"Jakarta",36994844,0.0024857581141331637
1331,-4.3858,15.4444,"Kinshasa",11422521,0.00012573905090035954
1338,-11.5914,27.5308,"Lubumbashi",3360782,0.00011934045490906232
1377,4.7017,-74.1469,"Bogota",8167111,0.00015955326681902968
1409,6.5775,3.3211,"Lagos",13900362,0.00032698532993520883
1439,38.7742,-9.1342,"Lisbon",3796257,0.00030784134480165494
1479,4.1917,73.5292,"Male",172562,0.0008025864937825128
1501,47.6011,7.5217,"Basel",1284334,0.00010158014666249657
1513,45.7256,5.0811,"Lyon",3616547,0.00018221092280091202
1534,43.6653,7.215,"Nice",1115525,0.0001406858028044912
1535,49.0097,2.5478,"Paris",13528665,0.0025266433150264883
1549,-15.3308,28.4525,"Lusaka",4169422,0.00010332458064194313
1562,55.7403,9.1517,"Billund",654873,0.00010048390207137934
1564,55.6203,12.6503,"Copenhagen",2357021,0.0006848678627541007
1595,-34.945,138.5306,"Adelaide",1303638,0.00026283979420505736
1603,-27.3842,153.1175,"Brisbane",1972855,0.0007331656288838491
1612,-33.9461,151.1772,"Sydney (AU)",4670715,0.003065445839516287
1615,-31.9403,115.9669,"Perth",1700500,0.00035212123318103573
1648,-37.6733,144.8433,"Melbourne (AU)",4144035,0.002398758917478918
1684,-16.8781,145.7489,"Cairns",216769,0.00012755322601573746
1699,48.1103,16.5781,"Vienna",2819261,0.0006449578456020702
1738,-1.3192,36.9278,"Nairobi",8886171,0.0002321594521497237
1758,40.9769,28.8147,"Istanbul",10841539,0.0011198383896347322
1784,23.5928,58.2817,"Muscat",2980924,0.0001013220576833324
1789,4.9442,114.9283,"Bandar Seri Begawan",391353,0.0001949732114481768
1790,36.8511,10.2272,"Tunis",4926028,0.0001114512940775541
1855,59.8003,30.2625,"St Petersburg",2791267,0.0004543792019907104
1859,43.3989,132.1481,"Vladivostok",845793,0.0002137301863903592
1890,55.4089,37.9064,"Moscow",24597359,0.0021304611596058977
2042,-23.4319,-46.4694,"Sao Paulo",23797477,0.000649911454085393
2051,44.8183,20.3092,"Belgrade",4072719,0.0004102234851565112
2125,40.4914,-80.2328,"Pittsburgh",2142365,0.00010722890886393794
2175,39.7172,-86.2944,"Indianapolis",2435835,0.00010904482407274363
2181,30.1944,-97.67,"Austin",1488404,0.00013453793604972198
2190,38.7486,-90.37,"St Louis",2592401,0.00011823941527124784
2204,33.6367,-84.4281,"Atlanta",4756209,0.0003601900158250716
2212,41.4117,-81.8497,"Cleveland",2429441,0.00011536304051264716
2214,35.2139,-80.9431,"Charlotte",2403270,0.000115084985900235
2217,41.9786,-87.9047,"Chicago",9723114,0.0013558508784150226
2257,35.8778,-78.7875,"Raleigh",1592870,0.00014856846256289363
2272,32.7336,-117.1897,"San Diego",3859323,0.00016572176638042613
2299,45.5886,-122.5975,"Portland (US-OR)",2775676,0.00021908919268378687
2303,40.7883,-111.9778,"Salt Lake City",1873818,0.00010768280531281337
2305,25.7933,-80.2906,"Miami",5181145,0.00032533165412295317
2320,39.0489,-84.6678,"Cincinnati",2149678,0.00010395674341088357
2334,29.9844,-95.3414,"Houston",5803516,0.00039788892176752835
2335,39.1753,-76.6683,"Baltimore",8035632,0.0004736881984280677
2366,39.8617,-104.6731,"Denver",3201129,0.00017895115198865704
2375,37.6189,-122.3917,"San Francisco",7595097,0.002652308757780118
2393,33.9425,-118.4081,"Los Angeles",19797290,0.004257762436070334
2396,36.08,-115.1522,"Las Vegas",1646212,0.00031463603288527754
2397,42.2125,-83.3533,"Detroit",4388129,0.0003965656189217618
2429,47.4489,-122.3094,"Seattle",4500055,0.000753617126815477
2432,39.8719,-75.2411,"Philadelphia",4945073,0.0001896378945857527
2441,33.4342,-112.0117,"Phoenix",3973284,0.0001861065843156297
2479,39.998,-82.8919,"Columbus (US-OH)",2208917,0.0001052918765865872
2489,42.3644,-71.0053,"Boston",5294555,0.0011930726339854274
2511,21.3278,-157.9222,"Honolulu",1093438,0.00044442555845395525
2518,40.6397,-73.7789,"New York",16714154,0.0034772699606951097
2528,44.8819,-93.2217,"Minneapolis",3364034,0.00022895522452166044
2532,28.4294,-81.3089,"Orlando",3230600,0.00023858898564456426
2533,32.8969,-97.0381,"Dallas",6658743,0.0003824687319550362
2571,59.6519,17.9186,"Stockholm",2241423,0.0004776836903320031
2572,57.6628,12.2797,"Goteborg",1014515,0.0003002500567323466
2682,43.6772,-79.6306,"Toronto",7618258,0.0019332225725467197
2716,51.1139,-114.0203,"Calgary",1610469,0.00015954753290041442
2720,45.3225,-75.6692,"Ottawa",1573488,0.00011618743153356687
2766,49.1939,-123.1844,"Vancouver",2794226,0.00149079233337089
2777,45.4706,-73.7408,"Montreal",5049937,0.00055289973612581
2796,50.345,30.8947,"Kiev",6928075,0.0002124990716939981
2800,36.7167,127.4992,"Cheongju",4827368,0.00025594433454308364
2801,33.5114,126.4931,"Jeju",527344,0.0036317652022888483
2803,37.4692,126.4506,"Seoul",27019922,0.018130542444605047
2804,35.8942,128.6589,"Daegu",4110186,0.0004703113355360376
2806,35.1403,129.0628,"Pusan",4350635,0.0024722787373701966
2808,35.1264,126.8089,"Gwangju",2122499,0.0002935231334988954
2821,1.3592,103.9894,"Singapore",4091180,0.011437411877216535
2822,24.265,120.6208,"Taichung Cingcyuangang",5824361,0.0002413364076828361
2825,25.0778,121.2328,"Taipei",10434115,0.018990651634028924
2828,22.5772,120.35,"Kaohsiung",5680715,0.00242464610835445
2841,41.2578,69.2811,"Tashkent",7101988,0.00012132292605265696
2852,52.1658,20.9672,"Warsaw",6532383,0.00038326230340398444
2861,29.2267,47.9689,"Kuwait",2753152,0.00010541758709053119
2873,36.675,-4.4992,"Malaga",1326212,0.00012090727097577827
2874,40.4936,-3.5667,"Madrid",6752288,0.0009994145208828133
2883,39.4894,-0.4817,"Valencia (ES)",2682797,0.00016371806145301212
2884,41.2969,2.0783,"Barcelona (ES)",4148999,0.0010173585006382458
2907,43.3011,-2.9106,"Bilbao",1559995,0.00010912678803477795
2925,53.4214,-6.27,"Dublin",2249671,0.0002596742689585592
2966,35.6889,51.3147,"Tehran",18888667,0.0008990398434896214
3017,15.5894,32.5531,"Khartoum",10314522,0.000175447028114411
3041,-43.4894,172.5322,"Christchurch",450914,0.00033580220764265335
3046,-37.0097,174.7917,"Auckland",1473397,0.001502514383194636
3081,43.8086,11.2028,"Florence (IT)",1721779,0.00016394534640589282
3085,45.5053,12.3519,"Venice",3258564,0.00038580113489914
3086,44.5308,11.2969,"Bologna",1749603,0.00029085660106039084
3093,45.63,8.7231,"Milan",8907478,0.0014633011367019277
3099,41.8003,12.2389,"Rome",4729924,0.0007597822653759507
3105,39.4286,141.1353,"Hanamaki",1407246,0.00013619299787191424
3106,35.5522,139.7797,"Tokyo",32212732,0.011241400597134552
3108,36.3947,136.4067,"Komatsu",1479677,0.00029600119678252544
3110,34.7569,133.8553,"Okayama",2017693,0.00031509731302866123
3115,31.8033,130.7194,"Kagoshima",1760168,0.00016782816460533643
3122,38.1397,140.9169,"Sendai",2131405,0.00021869326407218044
3127,35.7647,140.3864,"Tokyo Narita",8512151,0.009306882097736656
3129,32.9169,129.9136,"Nagasaki",2172181,0.0004318993246334915
3135,26.1958,127.6458,"Okinawa",1306046,0.001330425563269939
3137,33.8272,132.6997,"Matsuyama",1202529,0.00013594097414048952
3140,37.2275,140.4306,"Fukushima",2053602,0.00014077998207679185
3141,34.8583,136.8053,"Nagoya",11834566,0.005238710213257256
3143,36.6483,137.1875,"Toyama",1516469,0.00010865804894840611
3144,34.4361,132.9194,"Hiroshima",1535236,0.0002823464886676887
3145,34.2142,134.0156,"Takamatsu",1179894,0.00037159782072201524
3147,33.5858,130.4506,"Fukuoka",3931988,0.0018488622837771695
3151,34.4272,135.2442,"Osaka",19601735,0.012778277720683923
3152,37.9558,139.1208,"Niigata",2202929,0.00013158705695556547
3158,42.7753,141.6922,"Sapporo",3205804,0.0015123427695517032
3163,0.0425,32.4436,"Entebbe",15804150,0.00016623372535179174
3179,24.4331,54.6511,"Abu Dhabi",468202,0.0005090691470004719
3181,25.2528,55.3644,"Dubai",1501658,0.002242793311312062
3205,-34.8222,-58.5358,"Buenos Aires",15821757,0.00014315799975510055
3232,26.2708,50.6336,"Bahrain",793049,0.00015970377111970333
